text,Topic,Subtopic
i need to make a report due to fraudulent activity on my card,Other,Scam
I lost my phone. What do I need to do?,Account,Card Block
The app does not know it is me.,Account,Identity Verification
i have a fraudulent transaction from wal mart showing on my account,Funds,Funds Wrong Debit
The app doesn't think it's me.,Account,Identity Verification
I'm dissatisfied with the service and would like to terminate the account.,Card,Card Activation
My card is needed soon,Card,Card Delivery
swap my amex pin to 1234,Card,Reset PIN
What do I do if I believe to be a victim of credit card fraud?,Other,Scam
"I need to exchange between different currencies, like GBP and USD. Can I do that with your app?",Funds,Funds Exchange Info
Is the exchange rate current?,Funds,Funds Exchange Info
My top up isn't in my wallet.,Funds,Top Up Issues
how do i get a pin for my card,Account,Reset PIN
Don't!,Other,Conversation Control
Am I going to be charged for receiving money?,Funds,Funds Transfer Issues
"Show me how to link the new card,",Card,Card Info
Do you provide cards to people not in the UK?,Funds,Funds Transaction History
My top-up seems to be pending for a long time?,Funds,Top Up Issues
My card payment was cancelled.  Why?,Funds,Funds Transfer Issues
The store card reader would not accept my card.,Card,Card Issues
Where can I find the auto-top option?,Funds,Top Up
I did not receive the right amount of cash.,Other,Unsupported Talk
What are the fees for using transfer to top off my account?,Funds,Funds Transfer
Hi. I noticed I have a duplicate charge which I have not made twice. Who should I talk to take care of this?,Funds,Funds Fees Issues
Why did you revert my top up?,Funds,Top Up Issues
"I topped up recently and saw the money go through, but now it's just gone? What's going on",Funds,Top Up Issues
I live in the EU - can I get a card?,Card,Card Order
My card stopped working. How do I check if there is a freeze on it?,Card,Card Issues
I need to verify my identity. How do I do that?,Account,Identity Verification
i dont have any active standing order,Other,Unsupported Talk
Thank you. The problem is no longer an issue. ,Other,Small Talk
i dont know if i need something else,Other,Unsupported Talk
How long is the transfer?,Funds,Funds Transfer Info
Is it possible to exchange currencies using the app?,Funds,Funds Exchange
How does the exchange rate work?,Funds,Funds Exchange Info
How do I dispute a direct debit that I didn't do?,Funds,Funds Wrong Debit
Does it cost money to top up?,Funds,Top Up Info
I am waiting for the money to enter my account. How long does it take?,Funds,Funds Transfer Info
I need to find out where the card is that I ordered.,Card,Card Delivery
"As I double checked that I have the correct account details that i submitted , they're right for sure. Transfer is still pending so far.",Other,Scam
"Can you please assist me in Apple Pay, in getting Top Up to work?",Funds,Top Up Info
did i do something to get my bank account frozen,Account,Account Issues
Is there a fee for topping up by charge card?,Funds,Top Up Info
Will I see fees from adding money with an international card?,Funds,Funds Fees
I'm still waiting for my transaction.,Funds,Funds Pending Issues
How do I top up on my card?,Funds,Top Up Info
what transactions have i made on liquor in the past month,Funds,Funds Transaction History
Which ATMs accept this bill of fare ?,Other,Find ATM
The card has suffered a security breach.,Other,Scam
There is a duplicate charge on my account.,Funds,Funds Fees Issues
How do I get my virtual card?,Card,Card Order
With my credit card i would like to transfer money.,Funds,Funds Transfer
Is there any way to see my card in the app?,Card,Card Info
"How long does EU transfer take? I bought something online a couple days ago , sent the money immediately online but the seller says it is still not there yet",Funds,Funds Transfer
Are there top up charges for US cards?,Funds,Top Up Info
Hello sorry I fell asleep,Other,Small Talk
"hello, i’m trying to restore my suspended account",Account,Account Restore
When do I get my card PIN?,Account,Account Info
Can I make a withdraw in my home currency at an ATM? I'm on vacation and am a bit worried because I don't have cash with me. Is it possible to withdraw here without any additional costs or fees?,Funds,Funds Fees
What foreign exchange rate will I get on weekdays and on the weekends?,Funds,Funds Exchange Info
I finished my transfer. I am having an issue with it still pending. It has been a long time and i'm growing impatient,Funds,Funds Pending Issues
Please help me set up a new PIN.,Card,Reset PIN
Is there a fee to get an actual card?,Funds,Funds Fees
Why hasn't payment gone through yet?,Funds,Funds Pending Issues
If I am running low on credit can I auto top up?,Funds,Automatic Top Up
How long will it take to urgently transfer something to China?,Funds,Funds Transfer
help my money isnt showing up,Funds,Funds Fees Issues
"I heard you have an auto-top up option, where do I find that?",Funds,Automatic Top Up
Talk me through modifying my details.,Funds,Funds Wrong Debit
I need two cards. Is this possible?,Card,Card Info
How can I change my PIN even though I'm out of the country in Austria at the moment?,Account,Reset PIN
Where can I find the auto-top up feature?,Funds,Automatic Top Up
Is payment required to get a card of my own?,Other,Small Talk
How old do you need to be to have an account?,Account,Account Creation
My new landlord says he hasn't received the rent payment that I transferred a couple days ago. I've already checked the account numbers and they are correct. Can you tell me what's going on with this transaction that the transfer isn't showing up on my landlord's end?,Funds,Funds Transfer
My card payment has the wrong exchange rate,Funds,Funds Exchange Issues
pay the red cross the monthly donation,Funds,Funds Transfer
How much are you going to charge me if I top up my US card?,Funds,Top Up Info
Can I transfer money using the SWIFT service?,Funds,Funds Transfer
Is there a fee to make a transfer?,Funds,Funds Fees
deposit ten bucks from my chase account to my ally account,Funds,Funds Transfer
Can you explain why my payment was charged a fee?,Funds,Funds Fees Issues
I do not know what this cash withdrawal is,Funds,Withdraw Issues
How long does it take for deliver to the US?,Card,Card Delivery
What I topped up was reverted by the app.,Funds,Top Up Issues
What other credit cards can I use?,Funds,Funds Transfer Cancel
My cash transaction isn't showing on my receipt,Other,Unsupported Talk
How do I get a virtual card on my device?,Card,Card Order
What do I do about a debit on my account that I didn't make?,Funds,Funds Wrong Debit
I did not have the right exchange rate applied to my situation of pulling out cash,Funds,Funds Transaction History
what 's my checking account balance,Funds,Funds Balance
Can you tell me why I haven't received my new card?,Card,Card Issues
A seller is stating that they haven't received money yet when the money has already deducted from my account.,Funds,Funds Issues
I saw there is a cash withdrawal from my account via the app which I did not complete.,Funds,Funds Wrong Debit
i want my account frozen,Account,Account Suspend
There is a payment with my card which i definitely did not do.,Funds,Funds Transfer Info
Do you offer account's for minors?,Other,Unsupported Talk
Why is my transfer taking so long. I thought it was supposed to only take 1 day if I made a transfer to someone. Can you wee what went wrong?,Funds,Funds Pending Issues
Why has my top up been cancelled,Card,ATM Card Issues
"I tried to get money out of the Notting Hill ATM earlier, but I wasn't able to get anything out. Is there a problem with my card? It's the first time I tried using it.",Card,ATM Card Issues
There has been a red flag on my top up.,Funds,Top Up Issues
"Transfers may show up as pending for up to one business day while they are processed, and then they'll depart for the beneficiary accounts. Please confirm that you have correctly entered your account details. SEPA transfers typically take up to two working days, while SWIFT transfers can take up to five working days.",Funds,Funds Pending Issues
please tell me my pin number for my synovus account,Account,Reset PIN
My ATM withdrawal was cancelled,Funds,Withdraw Issues
help me get access to my recent transaction history,Funds,Funds Transaction History
Tell me how I can verify a card top-up.,Other,Unsupported Talk
